iter	Logloss
0	0.6764052619
1	0.661094572
2	0.6481631289
3	0.6367597552
4	0.62720113
5	0.6187461215
6	0.6109279964
7	0.6039671649
8	0.5975808689
9	0.5922069737
10	0.5873963353
11	0.5835208593
12	0.5801775189
13	0.5770245322
14	0.5739518825
15	0.5716526897
16	0.5693284895
17	0.567142377
18	0.5653895454
19	0.5630794847
20	0.561248264
21	0.5594680409
22	0.5577162684
23	0.5562932761
24	0.5550929301
25	0.5540339392
26	0.5522245091
27	0.5509571076
28	0.5491954449
29	0.5480745846
30	0.5471163666
31	0.5456616446
32	0.5449051801
33	0.5441472463
34	0.5432270901
35	0.5422290595
36	0.5406013074
37	0.5398456112
38	0.5389269139
39	0.5381768229
40	0.5361543025
41	0.5355653494
42	0.5350345031
43	0.5344708686
44	0.5338808111
45	0.5334598334
46	0.5322910574
47	0.5307325636
48	0.5303644183
49	0.5299003885
50	0.5284997201
51	0.5280118519
52	0.5277202551
53	0.5274001886
54	0.5271260686
55	0.5266979314
56	0.5263710987
57	0.5260291622
58	0.5255779977
59	0.5253763725
60	0.5242333949
61	0.5234426434
62	0.5231986851
63	0.5224765047
64	0.5219692431
65	0.5215020591
66	0.5212578576
67	0.5209625832
68	0.5204618773
69	0.5202234276
70	0.5191581007
71	0.5188086715
72	0.5180205913
73	0.517802092
74	0.5172747411
75	0.5164332363
76	0.5157289587
77	0.5151897258
78	0.514431868
79	0.5142162347
80	0.5139098364
81	0.5130180851
82	0.5128497042
83	0.5125087018
84	0.5120676392
85	0.5115487302
86	0.5113466721
87	0.5106909761
88	0.5105334815
89	0.5101955139
90	0.5099349252
91	0.5095356676
92	0.5092699072
93	0.5090762171
94	0.5088787712
95	0.5087406544
96	0.5086691201
97	0.5084106951
98	0.5082635348
99	0.5076829852
100	0.507507937
101	0.5068303381
102	0.5067625494
103	0.5065450775
104	0.5057412121
105	0.5050296949
106	0.5043521463
107	0.5039100873
108	0.5035329601
109	0.5030588565
110	0.5028432272
111	0.5024714019
112	0.5023272901
113	0.5021362434
114	0.5019764711
115	0.5017662754
116	0.5016258797
117	0.5014944543
118	0.5013871959
119	0.5012937306
120	0.5010383167
121	0.5009039049
122	0.5004683065
123	0.4999687951
124	0.4998283628
125	0.499612941
126	0.499501192
127	0.4993039799
128	0.4990213188
129	0.4988528597
130	0.4987635397
131	0.4982441172
132	0.4977420702
133	0.4976510339
134	0.4975557533
135	0.497309456
136	0.4968941303
137	0.4965524317
138	0.4961546177
139	0.4960459544
140	0.4957491812
141	0.4955385201
142	0.495310792
143	0.4950384288
144	0.4948309449
145	0.4946930869
146	0.4945043626
147	0.4941908879
148	0.4940440094
149	0.4938801861
150	0.4937000722
151	0.4933520513
152	0.4932443947
153	0.4931226668
154	0.4930066644
155	0.4928714753
156	0.4927345954
157	0.4926227994
158	0.4923913893
159	0.4922875206
160	0.4919971769
161	0.4918714298
162	0.4917686133
163	0.4913617282
164	0.4910408725
165	0.4906375793
166	0.4904652791
167	0.4903028875
168	0.490214615
169	0.4900880717
170	0.489638924
171	0.4894889536
172	0.4893567811
173	0.4892347773
174	0.4891177036
175	0.48904601
176	0.488919739
177	0.4887785287
178	0.488648918
179	0.4883100471
180	0.4882102563
181	0.4879435474
182	0.4878599787
183	0.4877406169
184	0.4874042152
185	0.4872333581
186	0.4871352272
187	0.4868490602
188	0.486750602
189	0.4866533988
190	0.4864631126
191	0.4863685821
192	0.485421806
193	0.4852769824
194	0.4852102041
195	0.4851401122
196	0.4849605761
197	0.4848153133
198	0.4847197496
199	0.4842638109
200	0.4841166498
201	0.4839832816
202	0.4836201171
203	0.4834199592
204	0.4831078894
205	0.4829859006
206	0.4828952717
207	0.4826753938
208	0.4824825495
209	0.4823694072
210	0.482243243
211	0.4821144355
212	0.482009551
213	0.4819187136
214	0.4816619774
215	0.4815169599
216	0.4813957999
217	0.481247972
218	0.4810885339
219	0.4810385062
220	0.4809232467
221	0.4808644666
222	0.4807632803
223	0.4805457992
224	0.4804347463
225	0.4802549537
226	0.4800893284
227	0.4799795427
228	0.4796811901
229	0.4796122803
230	0.4794926253
231	0.4793142905
232	0.4792038526
233	0.4789585745
234	0.4788947946
235	0.4788185146
236	0.4787187386
237	0.478649604
238	0.4786000836
239	0.4785650977
240	0.478458186
241	0.4781715904
242	0.4780330423
243	0.4779159524
244	0.4776625119
245	0.477559633
246	0.4775468445
247	0.4774258626
248	0.4772622269
249	0.4771652123
250	0.4770201573
251	0.4769910458
252	0.4769231065
253	0.4768150946
254	0.4765708621
255	0.4764494519
256	0.4762316748
257	0.4761608611
258	0.4760145073
259	0.4759422002
260	0.4758701446
261	0.4757796921
262	0.4756742916
263	0.4756356971
264	0.4755810276
265	0.4755419814
266	0.4753871859
267	0.4752788157
268	0.4750626898
269	0.4749880967
270	0.4748911615
271	0.4748065649
272	0.4746915238
273	0.4746358926
274	0.4745214247
275	0.4743568029
276	0.4743095505
277	0.4740959148
278	0.4739943909
279	0.473943747
280	0.4739218652
281	0.4738977731
282	0.4736543685
283	0.4735572039
284	0.4734708064
285	0.4733274474
286	0.473242297
287	0.4731356963
288	0.4731045863
289	0.4730115946
290	0.4729477231
291	0.472818515
292	0.4726386188
293	0.4725292132
294	0.4722888882
295	0.4721973116
296	0.4720929581
297	0.4720143414
298	0.4719369649
299	0.4718465254
