iter	Passed	Remaining
0	86	25886
1	110	16394
2	129	12842
3	158	11713
4	178	10507
5	197	9683
6	219	9175
7	240	8783
8	260	8413
9	281	8164
10	300	7896
11	323	7753
12	345	7637
13	364	7451
14	388	7378
15	407	7238
16	429	7152
17	450	7058
18	470	6958
19	492	6889
20	513	6816
21	534	6751
22	555	6687
23	576	6632
24	598	6581
25	619	6524
26	640	6476
27	661	6429
28	680	6360
29	701	6309
30	723	6279
31	741	6213
32	762	6167
33	784	6133
34	804	6087
35	825	6056
36	846	6016
37	868	5989
38	889	5955
39	912	5934
40	932	5892
41	958	5886
42	980	5860
43	1003	5836
44	1029	5833
45	1055	5828
46	1076	5797
47	1099	5770
48	1124	5758
49	1146	5733
50	1165	5692
51	1186	5659
52	1209	5634
53	1230	5606
54	1250	5571
55	1272	5543
56	1291	5506
57	1311	5470
58	1332	5443
59	1355	5420
60	1376	5391
61	1396	5362
62	1418	5334
63	1437	5301
64	1459	5276
65	1479	5246
66	1498	5211
67	1520	5186
68	1540	5156
69	1562	5134
70	1582	5105
71	1603	5077
72	1624	5052
73	1648	5033
74	1669	5007
75	1689	4981
76	1711	4957
77	1730	4924
78	1750	4896
79	1775	4882
80	1798	4862
81	1817	4831
82	1837	4803
83	1860	4783
84	1878	4751
85	1900	4728
86	1920	4701
87	1940	4675
88	1966	4661
89	1997	4661
90	2023	4648
91	2043	4620
92	2064	4595
93	2085	4570
94	2106	4545
95	2126	4519
96	2143	4485
97	2162	4457
98	2183	4434
99	2203	4407
100	2223	4380
101	2244	4357
102	2265	4333
103	2284	4304
104	2304	4279
105	2323	4251
106	2339	4220
107	2358	4192
108	2378	4167
109	2396	4139
110	2416	4114
111	2438	4093
112	2460	4071
113	2478	4043
114	2500	4022
115	2522	4000
116	2543	3978
117	2572	3968
118	2600	3955
119	2624	3936
120	2645	3914
121	2665	3889
122	2685	3864
123	2704	3839
124	2725	3815
125	2745	3791
126	2768	3770
127	2789	3747
128	2810	3726
129	2832	3703
130	2855	3683
131	2881	3666
132	2902	3645
133	2928	3628
134	2950	3606
135	2972	3584
136	2991	3559
137	3009	3533
138	3030	3509
139	3052	3488
140	3070	3462
141	3090	3438
142	3112	3417
143	3133	3395
144	3155	3373
145	3181	3356
146	3205	3336
147	3227	3314
148	3249	3293
149	3270	3270
150	3293	3249
151	3313	3226
152	3354	3222
153	3380	3204
154	3399	3180
155	3418	3155
156	3438	3131
157	3461	3110
158	3482	3088
159	3506	3067
160	3529	3046
161	3555	3029
162	3576	3005
163	3597	2983
164	3619	2961
165	3639	2937
166	3661	2915
167	3682	2893
168	3705	2871
169	3734	2855
170	3753	2831
171	3774	2808
172	3793	2784
173	3814	2762
174	3836	2740
175	3859	2719
176	3881	2697
177	3906	2677
178	3927	2655
179	3948	2632
180	3969	2609
181	3989	2586
182	4010	2564
183	4032	2542
184	4053	2519
185	4075	2497
186	4099	2477
187	4119	2454
188	4141	2432
189	4164	2410
190	4186	2389
191	4207	2366
192	4229	2344
193	4249	2322
194	4271	2299
195	4292	2277
196	4313	2255
197	4335	2233
198	4354	2210
199	4375	2187
200	4397	2165
201	4419	2143
202	4438	2120
203	4462	2099
204	4484	2078
205	4505	2056
206	4528	2034
207	4548	2011
208	4567	1988
209	4591	1967
210	4612	1945
211	4635	1924
212	4657	1902
213	4681	1881
214	4701	1858
215	4721	1836
216	4742	1814
217	4763	1791
218	4785	1769
219	4809	1748
220	4829	1726
221	4851	1704
222	4871	1682
223	4891	1659
224	4911	1637
225	4933	1615
226	4954	1593
227	4974	1571
228	4996	1549
229	5017	1527
230	5039	1505
231	5059	1482
232	5082	1461
233	5101	1438
234	5124	1417
235	5146	1395
236	5166	1373
237	5188	1351
238	5212	1330
239	5231	1307
240	5253	1286
241	5274	1264
242	5294	1241
243	5317	1220
244	5338	1198
245	5359	1176
246	5383	1155
247	5408	1134
248	5432	1112
249	5457	1091
250	5480	1069
251	5506	1048
252	5528	1027
253	5548	1004
254	5568	982
255	5590	960
256	5611	938
257	5635	917
258	5655	895
259	5679	873
260	5701	851
261	5723	830
262	5742	807
263	5765	786
264	5786	764
265	5806	742
266	5829	720
267	5851	698
268	5871	676
269	5894	654
270	5923	633
271	5949	612
272	5969	590
273	5989	568
274	6009	546
275	6029	524
276	6062	503
277	6084	481
278	6108	459
279	6128	437
280	6151	415
281	6171	393
282	6191	371
283	6213	350
284	6237	328
285	6259	306
286	6281	284
287	6303	262
288	6325	240
289	6345	218
290	6365	196
291	6383	174
292	6405	153
293	6426	131
294	6445	109
295	6466	87
296	6488	65
297	6509	43
298	6531	21
299	6551	0
